HomeTeam,AwayTeam,Home,Draw,Away,HomeDecimal,DrawDecimal,AwayDecimal,B365H,B365D,B365A,bet,Proba,Kelly,betDatePortion,Date,runningMoney,BetAmount,refill,withdraw
FCJ Blackbird,PK-37,-110,320,180,1.9090909090909087,4.2,2.8,1.9090909090909087,4.2,2.8,H,0.5478783923842937,0.05054462400701656,0.010669965964343678,2022-06-28,10,0.10669965964343678,0,0
RPS Lions,STPS,-125,300,225,1.8,4.0,3.25,1.8,4.0,3.25,H,0.6879946823633537,0.2979880353175458,0.013665525667037428,2022-06-28,10,0.1366552566703743,0,0
FC Melody,PP-70,-125,320,210,1.8,4.2,3.1,1.8,4.2,3.1,H,0.6652584825476449,0.24683158573220093,0.012984026058596243,2022-06-28,10,0.12984026058596243,0,0
GrIFK Reservi,BK-46,-275,450,400,1.3636363636363638,5.5,5.0,1.3636363636363638,5.5,5.0,H,0.7502266256625332,0.0633498462344996,0.010807475792636996,2022-06-28,10,0.10807475792636996,0,0
Fram/Úlfarnir U19,Fjolnir/Vaengir II U19,-250,400,400,1.4,5.0,5.0,1.4,5.0,5.0,H,0.7707526602304153,0.19763431080645355,0.012360705902630807,2022-06-28,10,0.12360705902630806,0,0
FH Hafnarfjordur Women,Tindastoll Women,-188,350,320,1.5319148936170213,4.5,4.2,1.5319148936170213,4.5,4.2,H,0.7253077221125176,0.20888623968405065,0.012500573098529774,2022-06-28,10,0.12500573098529774,0,0
Grindavik Women,Fylkir Reykjavik Women,100,300,175,2.0,4.0,2.75,2.0,4.0,2.75,H,0.5195399096796133,0.03907981935922655,0.010548335456245462,2022-06-28,10,0.10548335456245463,0,0
Al Qasim SC,Naft Al-Wasat,137,160,220,2.37,2.6,3.2,2.37,2.6,3.2,H,0.4821226047090097,0.10410990741631604,0.01125709007323746,2022-06-28,10,0.1125709007323746,0,0
Al Sinaah,Al Quwa Al Jawiya,275,180,105,3.75,2.8,2.05,3.75,2.8,2.05,D,0.41843625685755986,0.09534528844509314,0.0111588570842225,2022-06-28,10,0.111588570842225,0,0
Al Talaba,Baghdad FC,-167,220,475,1.598802395209581,3.2,5.75,1.598802395209581,3.2,5.75,H,0.7204943398487849,0.2537198873962556,0.013073772692984152,2022-06-28,10,0.1307377269298415,0,0
ES Bafing,LYS Sassandra,150,170,190,2.5,2.7,2.9,2.5,2.7,2.9,H,0.5414893122713744,0.2358155204522907,0.012841778124724534,2022-06-28,10,0.12841778124724534,0,0
Gamba Osaka,Sanfrecce Hiroshima,400,300,-167,5.0,4.0,1.598802395209581,5.0,4.0,1.598802395209581,A,0.6614065318833771,0.09595544012861683,0.011165667757219142,2022-06-28,10,0.11165667757219142,0,0
UiTM FC U19,Selangor FA U19,375,275,-175,4.75,3.75,1.5714285714285714,4.75,3.75,1.5714285714285714,A,0.6654591571796616,0.08001268224406949,0.01098906770601875,2022-06-28,10,0.1098906770601875,0,0
Difaa El Jadida,Youssoufia Berrechid,110,210,225,2.1,3.1,3.25,2.1,3.1,3.25,A,0.3953440245755116,0.12660803549796118,0.011513223990610739,2022-06-28,10,0.11513223990610738,0,0
Ittihad Tanger,MAS Fes,175,170,160,2.75,2.7,2.6,2.75,2.7,2.6,D,0.46469544344274977,0.14981041017377908,0.011783481308831174,2022-06-28,10,0.11783481308831174,0,0
