HomeTeam,AwayTeam,Home,Draw,Away,HomeDecimal,DrawDecimal,AwayDecimal
FC Gagra,FC Saburtalo Tbilisi,+180,+225,+125,2.8,3.25,2.25
Torpedo Kutaisi,Dila Gori,+187,+240,+110,2.87,3.4,2.1
Dinamo Batumi,Dinamo Tbilisi,+110,+220,+210,2.1,3.2,3.1
Njardvik,KF Fjallabyggd,-450,+450,+750,1.2222222222222223,5.5,8.5
Haukar,Throttur Reykjavik,+155,+300,+110,2.55,4.0,2.1
Reynir Sandgerdi,Vikingur Olafsvik,+145,+280,+125,2.45,3.8,2.25
FC Arbaer,Isbjörninn,-12500,+2500,+3300,1.008,26.0,34.0
Ulfarnir,KA Asvellir,+120,+175,+260,2.2,2.75,3.6
Alafoss,GG Grindavik,+900,+750,-700,10.0,8.5,1.1428571428571428
Berserkir/Midas,KF Hafnir,-154,+400,+225,1.6493506493506493,5.0,3.25
KB,Lettir Reykjavik,+500,+360,-275,6.0,4.6,1.3636363636363638
KM Reykjavik,Alftanes,+2200,+1600,-2200,23.0,17.0,1.0454545454545454
Smari,Hamar Hveragerdi,+1000,+500,-600,11.0,6.0,1.1666666666666667
Afturelding/Hvíti U19,Breidablik/Augnablik/Smari II U19,-138,+425,+190,1.7246376811594204,5.25,2.9
Fram/Úlfarnir U19,Fjolnir/Vaengir II U19,-250,+400,+400,1.4,5.0,5.0
Fjolnir Women,Vikingur Reykjavik Women,+1000,+500,-600,11.0,6.0,1.1666666666666667
FH Hafnarfjordur Women,Tindastoll Women,-188,+350,+320,1.5319148936170213,4.5,4.2
Grindavik Women,Fylkir Reykjavik Women,+100,+300,+175,2.0,4.0,2.75
Al Qasim SC,Naft Al-Wasat,+137,+160,+220,2.37,2.6,3.2
Al Sinaah,Al Quwa Al Jawiya,+275,+180,+105,3.75,2.8,2.05
Al Talaba,Baghdad FC,-167,+220,+475,1.5988023952095807,3.2,5.75
ES Bafing,LYS Sassandra,+150,+170,+190,2.5,2.7,2.9
Gamba Osaka,Sanfrecce Hiroshima,+400,+300,-167,5.0,4.0,1.5988023952095807
Yassy Turkistan,Zhetysu,+170,+240,+120,2.7,3.4,2.2
Kaisar Kyzylorda,FK Zhenys,-400,+425,+700,1.25,5.25,8.0
Silver Strikers,TN Stars,-188,+280,+450,1.5319148936170213,3.8,5.5
Terengganu,Negeri Sembilan,-134,+250,+300,1.7462686567164178,3.5,4.0
Melaka United U19,Negeri Sembilan U19,+250,+250,-120,3.5,3.5,1.8333333333333335
Terengganu U19,Penang U19,-138,+250,+300,1.7246376811594204,3.5,4.0
UiTM FC U19,Selangor FA U19,+375,+275,-175,4.75,3.75,1.5714285714285714
SP Falcons FC,Ulaanbaatar City,+140,+300,+125,2.4,4.0,2.25
Deren FC,Khangarid Klub,-800,+700,+1200,1.125,8.0,13.0
Difaa El Jadida,Youssoufia Berrechid,+110,+210,+225,2.1,3.1,3.25
FUS Rabat,Rapide Oued Zem,-125,+220,+300,1.8,3.2,4.0
Ittihad Tanger,MAS Fes,+175,+170,+160,2.75,2.7,2.6
JS Soualem,HUSA Agadir,+190,+180,+140,2.9,2.8,2.4
Mouloudia Oujda,WAC Casablanca,+375,+145,+100,4.75,2.45,2.0
Raja Casablanca,FAR Rabat,+110,+200,+220,2.1,3.0,3.2
OC Khouribga,OC Safi,+120,+187,+220,2.2,2.87,3.2
RSB Berkane,SC Chabab Mohammedia,+100,+190,+275,2.0,2.9,3.75
Auckland City,Eastern Suburbs Auckland,-900,+750,+1400,1.1111111111111112,8.5,15.0
Byåsen,Sandefjord,+800,+650,-700,9.0,7.5,1.1428571428571428
Eidsvold TF,Molde,+2200,+700,-1000,23.0,8.0,1.1
FK Jerv,Odd BK,+150,+230,+140,2.5,3.3,2.4
Gjøvik-Lyn,Stabaek,+650,+400,-334,7.5,5.0,1.2994011976047903
Kjelsås,Skeid,+175,+275,+110,2.75,3.75,2.1
Lillestrom,Aalesund,-188,+280,+400,1.5319148936170213,3.8,5.0
Moss,IK Start,+320,+320,-167,4.2,4.2,1.5988023952095807
Sotra,Haugesund,+900,+500,-500,10.0,6.0,1.2
Valerenga,Bodo/Glimt,+220,+230,+100,3.2,3.3,2.0
Bray Wanderers U19,Athlone Town U19,-125,+333,+200,1.8,4.33,3.0
Lion City Sailors FC,Young Lions,-1200,+850,+1500,1.0833333333333333,9.5,16.0
Busan Trans Corp,FC Seoul,+600,+350,-275,7.0,4.5,1.3636363636363638
Daegu FC,Pohang Steelers,+162,+225,+145,2.62,3.25,2.45
Jeonbuk Motors,Suwon Bluewings,-106,+225,+260,1.9433962264150944,3.25,3.6
Ulsan Hyundai,Bucheon FC 1995,-400,+425,+900,1.25,5.25,10.0
Säffle SK,Lidköpings FK,+225,+275,-120,3.25,3.75,1.8333333333333335
Azam FC,Biashara United Mara,-138,+220,+350,1.7246376811594204,3.2,4.5
Coastal Union,Geita Gold,+225,+200,+110,3.25,3.0,2.1
Kagera Sugar,Polisi Tanzania FC,-138,+220,+350,1.7246376811594204,3.2,4.5
Ruvu Shooting,Tanzania Prisons,+125,+175,+225,2.25,2.75,3.25
Young Africans FC,Mtibwa Sugar,-225,+275,+550,1.4444444444444444,3.75,6.5
Hartford Athletic,Colorado Springs,+210,+250,-106,3.1,3.5,1.9433962264150944
San Antonio FC,Tulsa,-223,+320,+500,1.4484304932735426,4.2,6.0
Cleveland Force,Kings Hammer FC,+550,+375,-300,6.5,4.75,1.3333333333333333
Tennessee SC,Peachtree City,-120,+250,+250,1.8333333333333335,3.5,3.5
Houston FC,Brazos Valley Cavalry,+187,+300,+100,2.87,4.0,2.0
St Croix SC,FC Manitoba,+105,+260,+200,2.05,3.6,3.0
Chicago FC United,St Louis Lions,-175,+333,+300,1.5714285714285714,4.33,4.0
New Jersey Copa,Hudson Valley Hammers,-118,+333,+187,1.847457627118644,4.33,2.87
Reign FK,OKC 1889 FC,+500,+320,-223,6.0,4.2,1.4484304932735426
Downtown United SC Women,STA Women,-450,+550,+650,1.2222222222222223,6.5,7.5
San Francisco Nighthawks Women,Marin FC Alliance Women,+180,+333,-110,2.8,4.33,1.9090909090909092
Patuxent Football Athletics Women,Christos FC Women,+150,+300,+125,2.5,4.0,2.25
Greenville Liberty Women,Asheville City SC Women,-500,+500,+800,1.2,6.0,9.0
South Georgia Tormenta FC Women,Chattanooga Red Wolves Women,-150,+333,+275,1.6666666666666665,4.33,3.75
Hibernian,Hartlepool,-163,+275,+333,1.6134969325153374,3.75,4.33
Larne,The New Saints,+190,+275,+100,2.9,3.75,2.0
Clachnacuddin,Inverness CT,+2500,+1000,-2500,26.0,11.0,1.04
Raith,Queen of South,-163,+300,+300,1.6134969325153374,4.0,4.0
Brasov Steagul Renaste,Farul Constanta,+850,+550,-600,9.5,6.5,1.1666666666666667
STK Samorin,FC Petrzalka,+105,+260,+187,2.05,3.6,2.87
Sigma Olomouc,MFK Vyskov,-275,+333,+550,1.3636363636363638,4.33,6.5
Chojniczanka Chojnice,KKS Kalisz,-175,+333,+300,1.5714285714285714,4.33,4.0
FK Teplice,Varnsdorf,-138,+275,+275,1.7246376811594204,3.75,3.75
MTE 1904,Dorogi FC,+100,+260,+200,2.0,3.6,3.0
Slovan Liberec,FC Sellier & Bellot Vlasim,-163,+275,+333,1.6134969325153374,3.75,4.33
Holstein Kiel,FK Qarabag,+160,+275,+115,2.6,3.75,2.15
Standard Liege,Sint-Truidense,+125,+300,+140,2.25,4.0,2.4
Queen's Park,NK Lokomotiva Zagreb,+800,+450,-450,9.0,5.5,1.2222222222222223
FC Salzburg,Legia Warsaw,-154,+333,+275,1.6493506493506493,4.33,3.75
Club Brugge,Lierse Kempenzonen,-800,+650,+1600,1.125,7.5,17.0
Dynamo Dresden,Heidenheim,+225,+240,-106,3.25,3.4,1.9433962264150944
FK Zeleziarne Podbrezova,KFC Komarno,-167,+275,+350,1.5988023952095807,3.75,4.5
Puchov,Trinec,+150,+275,+125,2.5,3.75,2.25
Banik Ostrava,FC Fastav Zlín,-167,+260,+380,1.5988023952095807,3.6,4.8
FK Cukaricki,Slask Wroclaw,+120,+260,+160,2.2,3.6,2.6
GKS Jastrzebie,Ruch Chorzow,+155,+275,+120,2.55,3.75,2.2
Mezokovesd Zsory,MTK Budapest,+120,+260,+160,2.2,3.6,2.6
Pardubice,FK Pribram,-250,+350,+450,1.4,4.5,5.5
Rapid Vienna,SV Lafnitz,-200,+350,+350,1.5,4.5,4.5
Hamburg,Hajduk Split,+180,+260,+110,2.8,3.6,2.1
Hartberg,Universitatea Cluj,+140,+260,+140,2.4,3.6,2.4
St Polten,Rapid Bucuresti,+260,+260,-125,3.6,3.6,1.8
Zrinjski Mostar,NK Igman Konjic,-800,+650,+1600,1.125,7.5,17.0
Erdi VSE,Kozarmisleny SE,+350,+350,-200,4.5,4.5,1.5
FC Viktoria 1889 Berlin,Union Berlin,+700,+425,-400,8.0,5.25,1.25
FK Sarajevo,FK Backa Topola,+150,+240,+140,2.5,3.4,2.4
GKS Tychy,Garbarnia Krakow,-154,+260,+333,1.6493506493506493,3.6,4.33
ND Gorica,Tabor Sezana,+100,+280,+187,2.0,3.8,2.87
Slavia Prague,Olympiakos,+162,+220,+137,2.62,3.2,2.37
Slavoj Trebisov,FC Tatran Presov,-110,+300,+190,1.9090909090909092,4.0,2.9
Termalica BB Nieciecza,MFK Karvina,+105,+275,+180,2.05,3.75,2.8
Waldhof Mannheim,Aarau,+140,+300,+125,2.4,4.0,2.25
Wolfsberger AC,Hansa Rostock,-110,+240,+240,1.9090909090909092,3.4,3.4
FC Monheim,Bochum,+2500,+1800,-4000,26.0,19.0,1.025
FC Deisenhofen,FC Pipinsried,+450,+350,-250,5.5,4.5,1.4
FC Remscheid,FC Viktoria Köln,+3300,+1200,-2200,34.0,13.0,1.0454545454545454
Go Ahead Eagles,PAOK Salonika,+190,+240,+110,2.9,3.4,2.1
Schalke II,SpVg Schonnebeck,-350,+450,+550,1.2857142857142856,5.5,6.5
TuS Bersenbruck,TuS Blau-Weiss Lohne,+500,+333,-250,6.0,4.33,1.4
USA U20,Costa Rica U20,-450,+500,+750,1.2222222222222223,6.0,8.5
Honduras U20,Panama U20,-188,+300,+400,1.5319148936170213,4.0,5.0
Portugal Women,Australia Women,+175,+120,+300,2.75,2.2,4.0
Chile Women,Venezuela Women,-120,+230,+280,1.8333333333333335,3.3,3.8
USA Women,Colombia Women,-4000,+1800,+5000,1.025,19.0,51.0
Poland Women,Iceland Women,+250,+250,-110,3.5,3.5,1.9090909090909092
Denmark Women,Norway Women,+180,+240,+125,2.8,3.4,2.25
Paraguay Women U20,Panama Women U20,-250,+350,+550,1.4,4.5,6.5
Colombia Women U20,Venezuela Women U20,-188,+260,+425,1.5319148936170213,3.6,5.25
Dortmund (Chellovekk) Esports,A.Madrid (Kodak) Esports,+900,+450,-450,10.0,5.5,1.2222222222222223
Inter (DaVa) Esports,Barcelona (Bomb1to) Esports,+260,+105,+200,3.6,2.05,3.0
Real Sociedad (slezaintima) Esports,Bayer 04 (JKey) Esports,+105,+240,+220,2.05,3.4,3.2
Bayern (YoungDaddy) Esports,Man Utd (Yaloo) Esports,+250,+240,-110,3.5,3.4,1.9090909090909092
PSG (Nederfox) Esports,Liverpool (Calvin) Esports,-138,+275,+275,1.7246376811594204,3.75,3.75
A.Madrid (Kodak) Esports,Inter (DaVa) Esports,+180,+200,+137,2.8,3.0,2.37
Barcelona (Bomb1to) Esports,Man City (Olle) Esports,+105,+250,+190,2.05,3.5,2.9
Bayer 04 (JKey) Esports,Leicester (Rus_1995_LAN) Esports,+300,+300,-163,4.0,4.0,1.6134969325153374
Napoli (dm1trena) Esports,Lyon (DriLLeR) Esports,+120,+225,+187,2.2,3.25,2.87
Liverpool (Calvin) Esports,Bayern (YoungDaddy) Esports,+220,+240,-106,3.2,3.4,1.9433962264150944
Man Utd (Yaloo) Esports,Real Madrid (Honey) Esports,-110,+260,+220,1.9090909090909092,3.6,3.2
A.Madrid (myxlunka) Esports,Chelsea (Bluefir3) Esports,+850,+600,-600,9.5,7.0,1.1666666666666667
Chelsea (Krouks) Esports,Tottenham (Nasmi) Esports,-125,+350,+200,1.8,4.5,3.0
Man City (Cliff) Esports,Man Utd (Dasko) Esports,+150,+300,+115,2.5,4.0,2.15
